started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-12-01 06:36:37.144000+00:00,2023-12-01 06:46:34.230000+00:00,597,493,Sofienbergparken nordvest,langs Helgesens Gate,59.9243639,10.7615858,2280,Klingenberggata,By Olav V street,59.913150534075015,10.732281291700133
2023-12-01 06:36:52.494000+00:00,2023-12-01 06:44:59.040000+00:00,486,537,St. Olavs gate,ved Pilestredet,59.9179676629428,10.738628884264756,2315,Rostockgata,utenfor Bjørvika visningssenter,59.90691970255054,10.760311802881915
2023-12-01 06:42:22.026000+00:00,2023-12-01 06:57:24.765000+00:00,902,455,Sofienbergparken sør,langs Sofienberggata,59.922337,10.7617503,404,Oslo Handelsgymnasium,ved Solligata,59.914306,10.720202
2023-12-01 06:42:23.036000+00:00,2023-12-01 06:47:50.111000+00:00,327,456,Frognerstranda,ved Kongen Marina,59.9103558,10.7051061,479,Tjuvholmen,ved Bryggegangen,59.909467,10.722509
2023-12-01 06:43:30.660000+00:00,2023-12-01 06:52:19.614000+00:00,528,399,Uelands gate,Ved Ulvetrappen (Ilatrappen),59.929545,10.7489862,569,Botanisk hage sør-vest,ved Sars' gate,59.91783548782385,10.766373769557958
2023-12-01 06:43:57.330000+00:00,2023-12-01 06:49:14.257000+00:00,316,423,Schous plass,nærmest rundkjøringen,59.920335,10.760804,549,Linaaes gate,langs Møllergata,59.91382393242077,10.745704482209018
2023-12-01 06:44:02.818000+00:00,2023-12-01 06:46:05.306000+00:00,122,1755,Aker Brygge 1 mot Nasjonalmuseet,bak muren ved plattform G,59.91118372188379,10.730034556850455,390,Saga Kino,langs Olav Vs gate,59.91424026794647,10.732771354719745
2023-12-01 06:44:07.539000+00:00,2023-12-01 06:46:11.301000+00:00,123,1755,Aker Brygge 1 mot Nasjonalmuseet,bak muren ved plattform G,59.91118372188379,10.730034556850455,390,Saga Kino,langs Olav Vs gate,59.91424026794647,10.732771354719745
2023-12-01 06:44:43.987000+00:00,2023-12-01 07:01:31.128000+00:00,1007,427,Briskeby,ved Uranienborg skole,59.920218,10.717978,478,Jernbanetorget,Europarådets plass,59.911901,10.749929
2023-12-01 06:44:55.303000+00:00,2023-12-01 06:56:17.710000+00:00,682,608,Colletts gate,ved Diriks gate,59.93068679863987,10.746273349149249,563,Huitfeldts gate,ved Observatoriegata,59.9126844,10.7229003
2023-12-01 06:45:06.005000+00:00,2023-12-01 06:51:22.761000+00:00,376,608,Colletts gate,ved Diriks gate,59.93068679863987,10.746273349149249,446,Bislett Stadion,ved rundkjøringen,59.925471317049954,10.73121932213806
2023-12-01 06:45:12.403000+00:00,2023-12-01 06:52:44.239000+00:00,451,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942,558,Dokkveien,ved Støperigata,59.910974,10.7277001
2023-12-01 06:46:48.971000+00:00,2023-12-01 06:55:08.448000+00:00,499,462,Stensparken,ved Sporveisgata,59.92714,10.730981,590,Majorstua skole,langs Bogstadveien,59.9294351,10.7136816
2023-12-01 06:46:51.447000+00:00,2023-12-01 07:02:27.740000+00:00,936,507,Jens Bjelkes Gate,ved Trondheimsveien,59.91914743024347,10.76412958416006,2329,Via Vika,mellom bygningene ved Via Vika,59.91271286014364,10.727170827087008
2023-12-01 06:47:40.165000+00:00,2023-12-01 06:55:25.291000+00:00,465,423,Schous plass,nærmest rundkjøringen,59.920335,10.760804,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939
2023-12-01 06:48:19.602000+00:00,2023-12-01 06:57:03.977000+00:00,524,2339,Elgsletta,langs Nylandsveien,59.91564920880896,10.761724502548105,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2023-12-01 06:48:26.863000+00:00,2023-12-01 06:50:06.592000+00:00,99,399,Uelands gate,Ved Ulvetrappen (Ilatrappen),59.929545,10.7489862,399,Uelands gate,Ved Ulvetrappen (Ilatrappen),59.929545,10.7489862
2023-12-01 06:48:44.883000+00:00,2023-12-01 06:55:00.813000+00:00,375,444,AHO,langs Maridalsveien,59.925265,10.750462,475,Hausmanns bru,langs Nylandsveien,59.9146509,10.7598719
2023-12-01 06:48:47.390000+00:00,2023-12-01 07:24:20.470000+00:00,2133,569,Botanisk hage sør-vest,ved Sars' gate,59.91783548782385,10.766373769557958,580,Georg Morgenstiernes hus,ved Moltke Moes vei,59.939025551395765,10.723002619643406
